numero,pregunta,A,B,C,D,letra_correcta,texto_respuesta_correcta,bloque_bruto
11,"De conformidad con el artículo 50 de la Ley Orgánica 1/2018, de 5 de noviembre, de reforma del Estatuto de
Autonomía de Canarias, corresponde al Gobierno de Canarias, (señale la afirmación falsa):",La dirección política de la Comunidad Autónoma de Canarias y de su Administración.,"Las funciones ejecutivas administrativas y legislativas, de conformidad con lo que establece el presente Estatuto y las leyes.","La planificación de la política económica de la Comunidad Autónoma de Canarias y su coordinación con las políticas insulares, teniendo en cuenta las necesidades de cada isla y el interés general.",La interposición de recursos de inconstitucionalidad y cuantas facultades le atribuya la Ley Orgánica del Tribunal Constitucional.,B,"Las funciones ejecutivas administrativas y legislativas, de conformidad con lo que establece el presente Estatuto y las leyes.","11. De conformidad con el artículo 50 de la Ley Orgánica 1/2018, de 5 de noviembre, de reforma del Estatuto de
Autonomía de Canarias, corresponde al Gobierno de Canarias, (señale la afirmación falsa):
A) La dirección política de la Comunidad Autónoma de Canarias y de su Administración.
B) Las funciones ejecutivas administrativas y legislativas, de conformidad con lo que establece el presente
Estatuto y las leyes.
C) La planificación de la política económica de la Comunidad Autónoma de Canarias y su coordinación con las
políticas insulares, teniendo en cuenta las necesidades de cada isla y el interés general.
D) La interposición de recursos de inconstitucionalidad y cuantas facultades le atribuya la Ley Orgánica del
Tribunal Constitucional.
Respuesta Correcta: B"
12,"De acuerdo con la Ley Orgánica 1/2018, de 5 de noviembre, de reforma del Estatuto de Autonomía de Canarias,
una ley del Parlamento de Canarias, a iniciativa de sus miembros regulará el régimen electoral, aprobada por la
mayoría de:",Tres quintos.,Dos tercios.,Absoluta.,Simple.,A,Tres quintos.,"12. De acuerdo con la Ley Orgánica 1/2018, de 5 de noviembre, de reforma del Estatuto de Autonomía de Canarias,
una ley del Parlamento de Canarias, a iniciativa de sus miembros regulará el régimen electoral, aprobada por la
mayoría de:
A) Tres quintos.
B) Dos tercios.
C) Absoluta.

D) Simple.
Respuesta Correcta: A"
13,Señale la proposición correcta:,Los Estatutos de Autonomía no pueden ser modificados sino con autorización del Senado.,La reforma de los Estatutos de Autonomía requiere la aprobación del Gobierno Central del proyecto de reforma.,La reforma de los Estatutos de Autonomía exige en todo caso su aprobación por las Cortes Generales mediante Ley Orgánica.,La reforma de los Estatutos de Autonomía está sujeta a los mismos procedimientos que la revisión constitucional.,C,La reforma de los Estatutos de Autonomía exige en todo caso su aprobación por las Cortes Generales mediante Ley Orgánica.,"13. Señale la proposición correcta:
A) Los Estatutos de Autonomía no pueden ser modificados sino con autorización del Senado.
B) La reforma de los Estatutos de Autonomía requiere la aprobación del Gobierno Central del proyecto de
reforma.
C) La reforma de los Estatutos de Autonomía exige en todo caso su aprobación por las Cortes Generales
mediante Ley Orgánica.
D) La reforma de los Estatutos de Autonomía está sujeta a los mismos procedimientos que la revisión
constitucional.
Respuesta Correcta: C"
14,"El Estatuto de Autónoma de Canarias dedica a los derechos, deberes y principios rectores:",El Título I.,El Título V.,El Título III.,El Titulo IV.,A,El Título I.,"14. El Estatuto de Autónoma de Canarias dedica a los derechos, deberes y principios rectores:
A) El Título I.
B) El Título V.
C) El Título III.
D) El Titulo IV.
Respuesta Correcta: A"
15,El Estatuto de Autonomía de Canarias consta de:,"202 artículos, 8 Títulos, 6 Disposiciones Adicionales, 2 Transitorias y 1 disposición final.","202 artículos, 1 Preámbulo, 8 Títulos, 6 Disposiciones Adicionales, 2 Transitorias y 1 disposición final.","200 artículos, 1 Preámbulo, 8 Títulos, 6 Disposiciones Adicionales, 2 Transitorias y 1 disposición final.","202 artículos, 1 Preámbulo, 8 Títulos, 6 Disposiciones Adicionales, 2 Transitorias, 1 derogatoria y 1 disposición final.",D,"202 artículos, 1 Preámbulo, 8 Títulos, 6 Disposiciones Adicionales, 2 Transitorias, 1 derogatoria y 1 disposición final.","15. El Estatuto de Autonomía de Canarias consta de:
A) 202 artículos, 8 Títulos, 6 Disposiciones Adicionales, 2 Transitorias y 1 disposición final.
B) 202 artículos, 1 Preámbulo, 8 Títulos, 6 Disposiciones Adicionales, 2 Transitorias y 1 disposición final.
C) 200 artículos, 1 Preámbulo, 8 Títulos, 6 Disposiciones Adicionales, 2 Transitorias y 1 disposición final.
D) 202 artículos, 1 Preámbulo, 8 Títulos, 6 Disposiciones Adicionales, 2 Transitorias, 1 derogatoria y 1
disposición final.
Respuesta Correcta: D"
16,El Estatuto de Autonomía de Canarias entró en vigor:,Al día siguiente de su publicación en el Boletín Oficial del Estado.,El mismo día de su publicación en el Boletín Oficial del Estado.,Al día siguiente de su publicación en el Boletín Oficial de Canarias.,El mismo día de su publicación en el Boletín Oficial de Canarias.,B,El mismo día de su publicación en el Boletín Oficial del Estado.,"16. El Estatuto de Autonomía de Canarias entró en vigor:
A) Al día siguiente de su publicación en el Boletín Oficial del Estado.
B) El mismo día de su publicación en el Boletín Oficial del Estado.
C) Al día siguiente de su publicación en el Boletín Oficial de Canarias.

D) El mismo día de su publicación en el Boletín Oficial de Canarias.
Respuesta Correcta: B"
17,Señale la incorrecta:,Los diputados estarán sujetos a mandato imperativo.,El número de diputados no será inferior a cincuenta ni superior a setenta y cinco.,Los miembros del Parlamento serán inviolables por los votos y opiniones que emitan en el ejercicio de su cargo.,El Parlamento funcionará en pleno y en comisiones.,A,Los diputados estarán sujetos a mandato imperativo.,"17. Señale la incorrecta:
A) Los diputados estarán sujetos a mandato imperativo.
B) El número de diputados no será inferior a cincuenta ni superior a setenta y cinco.
C) Los miembros del Parlamento serán inviolables por los votos y opiniones que emitan en el ejercicio de su
cargo.
D) El Parlamento funcionará en pleno y en comisiones.
Respuesta Correcta: A"
18,¿En qué artículo del Estatuto de Autonomía de Canarias se recogen los derechos en el ámbito de la salud?:,Artículo 16.,Artículo 19.,Artículo 37.,Artículo 43.,B,Artículo 19.,"18. ¿En qué artículo del Estatuto de Autonomía de Canarias se recogen los derechos en el ámbito de la salud?:
A) Artículo 16.
B) Artículo 19.
C) Artículo 37.
D) Artículo 43.
Respuesta Correcta: B"
19,Señale la respuesta incorrecta:,Los derechos reconocidos en el presente Estatuto no se podrán extender a otras personas.,"Los poderes públicos canarios reconocerán, de acuerdo con la ley, el derecho de las personas a su identidad de género y garantizarán la no discriminación por este motivo o por su orientación sexual.","Los poderes públicos canarios garantizarán la igualdad efectiva entre mujeres y hombres en el ámbito público y privado, y velarán por la conciliación de la vida familiar y profesional.",El Parlamento de Canarias tiene su sede en la ciudad de Santa Cruz de Tenerife.,A,Los derechos reconocidos en el presente Estatuto no se podrán extender a otras personas.,"19. Señale la respuesta incorrecta:
A) Los derechos reconocidos en el presente Estatuto no se podrán extender a otras personas.
B) Los poderes públicos canarios reconocerán, de acuerdo con la ley, el derecho de las personas a su
identidad de género y garantizarán la no discriminación por este motivo o por su orientación sexual.
C) Los poderes públicos canarios garantizarán la igualdad efectiva entre mujeres y hombres en el ámbito
público y privado, y velarán por la conciliación de la vida familiar y profesional.
D) El Parlamento de Canarias tiene su sede en la ciudad de Santa Cruz de Tenerife.
Respuesta Correcta: A"
20,El artículo 20 del Estatuto de Autonomía de Canarias:,Recoge los derechos en el ámbito de la educación.,Reconoce el derecho de acceso a la vivienda.,Reconoce el derecho a formular instrucciones previas.,Recoge los derechos de las personas mayores.,C,Reconoce el derecho a formular instrucciones previas.,"20. El artículo 20 del Estatuto de Autonomía de Canarias:
A) Recoge los derechos en el ámbito de la educación.
B) Reconoce el derecho de acceso a la vivienda.
C) Reconoce el derecho a formular instrucciones previas.

D) Recoge los derechos de las personas mayores.
Respuesta Correcta: C"
21,El Título III de la Ley General de Sanidad trata de:,Del Sistema Nacional de Salud.,De las competencias de las Administraciones Públicas.,De las competencias de las Comunidades Autónomas.,De la estructura del sistema sanitario público.,D,De la estructura del sistema sanitario público.,"21. El Título III de la Ley General de Sanidad trata de:
A) Del Sistema Nacional de Salud.
B) De las competencias de las Administraciones Públicas.
C) De las competencias de las Comunidades Autónomas.
D) De la estructura del sistema sanitario público.
Respuesta Correcta: D"
22,¿Qué es el Sistema Nacional de Salud?:,El conjunto de los Sistemas de Salud de las Comunidades Autónomas.,El conjunto de los Servicios de Salud de las Administraciones Autonómicas.,El conjunto de los Sistemas de Salud de la administración del Estado y de los Sistemas de Salud de las Comunidades Autónomas.,El conjunto de los Servicios de Salud de la administración del Estado y de los Servicios de Salud de las Comunidades Autónoma.,D,El conjunto de los Servicios de Salud de la administración del Estado y de los Servicios de Salud de las Comunidades Autónoma.,"22. ¿Qué es el Sistema Nacional de Salud?:
A) El conjunto de los Sistemas de Salud de las Comunidades Autónomas.
B) El conjunto de los Servicios de Salud de las Administraciones Autonómicas.
C) El conjunto de los Sistemas de Salud de la administración del Estado y de los Sistemas de Salud de las
Comunidades Autónomas.
D) El conjunto de los Servicios de Salud de la administración del Estado y de los Servicios de Salud de las
Comunidades Autónoma.
Respuesta Correcta: D"
23,La Ley General de Sanidad tiene como objeto genérico:,El ejercicio libre de las profesiones sanitarias y el de las entidades sanitarias.,El apoyo científico-técnico a las CC.AA.,La regulación general de todas las acciones que permitan hacer efectivo el derecho a la protección de la salud.,"Las actuaciones sanitarias del sistema de salud, la salud mental, la salud laboral, la intervención pública en relación con la salud individual y colectiva.",C,La regulación general de todas las acciones que permitan hacer efectivo el derecho a la protección de la salud.,"23. La Ley General de Sanidad tiene como objeto genérico:
A) El ejercicio libre de las profesiones sanitarias y el de las entidades sanitarias.
B) El apoyo científico-técnico a las CC.AA.
C) La regulación general de todas las acciones que permitan hacer efectivo el derecho a la protección de la
salud.
D) Las actuaciones sanitarias del sistema de salud, la salud mental, la salud laboral, la intervención pública en
relación con la salud individual y colectiva.
Respuesta Correcta: C"
24,"Según la Ley General de Sanidad, ¿Cuántos Servicios de Salud se constituirán dentro de una Comunidad
Autónoma?",Tantos como provincias integren a la Comunidad Autónoma.,Tantos como establezca el Estatuto de Autonomía de la respectiva Comunidad Autónoma.,La Ley General de Sanidad no establece nada al respecto.,Se constituirá un solo Servicio de Salud.,D,Se constituirá un solo Servicio de Salud.,"24. Según la Ley General de Sanidad, ¿Cuántos Servicios de Salud se constituirán dentro de una Comunidad
Autónoma?
A) Tantos como provincias integren a la Comunidad Autónoma.
B) Tantos como establezca el Estatuto de Autonomía de la respectiva Comunidad Autónoma.
C) La Ley General de Sanidad no establece nada al respecto.

D) Se constituirá un solo Servicio de Salud.
Respuesta Correcta: D"
25,"El carácter público, la universalidad y gratuidad del Sistema Nacional de la Salud quedó establecido en:",La Constitución Española.,"El Texto Refundido de la Ley General de la Seguridad Social, aprobado por Real Decreto Legislativo 1/1994, de 20 de junio.","La Ley 14/1986, de 25 de abril, General de Sanidad.","La Ley 55/2003, de 16 de diciembre, del Estatuto Marco del Personal Estatutario de los Servicios de Salud.",C,"La Ley 14/1986, de 25 de abril, General de Sanidad.","25. El carácter público, la universalidad y gratuidad del Sistema Nacional de la Salud quedó establecido en:
A) La Constitución Española.
B) El Texto Refundido de la Ley General de la Seguridad Social, aprobado por Real Decreto Legislativo 1/1994,
de 20 de junio.
C) La Ley 14/1986, de 25 de abril, General de Sanidad.
D) La Ley 55/2003, de 16 de diciembre, del Estatuto Marco del Personal Estatutario de los Servicios de Salud.
Respuesta Correcta: C"
26,"La Ley General de Sanidad establece en su artículo 3 que los medios y actuaciones del sistema sanitario estarán
vinculados prioritariamente a:",A la promoción de la salud y de la sanidad.,A la promoción del bienestar social.,A la tutela de las garantías sanitarias y de la prevención de enfermedades.,A la promoción de la salud y a la prevención de enfermedades.,D,A la promoción de la salud y a la prevención de enfermedades.,"26. La Ley General de Sanidad establece en su artículo 3 que los medios y actuaciones del sistema sanitario estarán
vinculados prioritariamente a:
A) A la promoción de la salud y de la sanidad.
B) A la promoción del bienestar social.
C) A la tutela de las garantías sanitarias y de la prevención de enfermedades.
D) A la promoción de la salud y a la prevención de enfermedades.
Respuesta Correcta: D"
27,Señale la respuesta incorrecta:,"En los supuestos en que las infracciones pudieran ser constitutivas de delito, la Administración pasará el tanto de culpa a la jurisdicción competente y se abstendrá de seguir el procedimiento sancionador mientras la autoridad judicial no dicte sentencia firme.","En ningún caso se impondrá una doble sanción por los mismos hechos y en función de los mismos intereses públicos protegidos, si bien deberán exigirse las demás responsabilidades que se deduzcan de otros hechos o infracciones concurrentes.",Es una infracción sanitaria leve: el incumplimiento reiterado de los requerimientos específicos que formulen las autoridades sanitarias.,Es una infracción muy grave: la negativa absoluta a facilitar información o prestar colaboración a los servicios de control e inspección.,C,Es una infracción sanitaria leve: el incumplimiento reiterado de los requerimientos específicos que formulen las autoridades sanitarias.,"27. Señale la respuesta incorrecta:
A) En los supuestos en que las infracciones pudieran ser constitutivas de delito, la Administración pasará el
tanto de culpa a la jurisdicción competente y se abstendrá de seguir el procedimiento sancionador mientras
la autoridad judicial no dicte sentencia firme.
B) En ningún caso se impondrá una doble sanción por los mismos hechos y en función de los mismos intereses
públicos protegidos, si bien deberán exigirse las demás responsabilidades que se deduzcan de otros hechos
o infracciones concurrentes.
C) Es una infracción sanitaria leve: el incumplimiento reiterado de los requerimientos específicos que formulen
las autoridades sanitarias.
D) Es una infracción muy grave: la negativa absoluta a facilitar información o prestar colaboración a los
servicios de control e inspección.
Respuesta Correcta: C"
28,"¿Cuál es, según la Ley General de Sanidad, la pieza básica de los Servicios de Salud de las Comunidades
Autónomas? Seleccione una:",Las Áreas de Salud.,Las Zonas Básicas de Salud.,Las Zonas y Áreas Básicas de Salud.,Las Gerencias de los Servicios de Salud.,A,Las Áreas de Salud.,"28. ¿Cuál es, según la Ley General de Sanidad, la pieza básica de los Servicios de Salud de las Comunidades
Autónomas? Seleccione una:

A) Las Áreas de Salud.
B) Las Zonas Básicas de Salud.
C) Las Zonas y Áreas Básicas de Salud.
D) Las Gerencias de los Servicios de Salud.
Respuesta Correcta: A"
29,"En qué artículo de la Ley General de Sanidad se recogen los derechos de los usuarios del Sistema Nacional de
Salud:",En su artículo 9.,En su artículo 10.,En su artículo 11.,En su artículo 12.,B,En su artículo 10.,"29. En qué artículo de la Ley General de Sanidad se recogen los derechos de los usuarios del Sistema Nacional de
Salud:
A) En su artículo 9.
B) En su artículo 10.
C) En su artículo 11.
D) En su artículo 12.
Respuesta Correcta: B"
30,La Ley de Ordenación Sanitaria de Canarias es la:,"Ley 11/1994, de 26 de junio.","Ley 8/1994, de 26 de julio.","Ley 11/1994, de 26 de julio.",Ninguna de las anteriores es correcta.,C,"Ley 11/1994, de 26 de julio.","30. La Ley de Ordenación Sanitaria de Canarias es la:
A) Ley 11/1994, de 26 de junio.
B) Ley 8/1994, de 26 de julio.
C) Ley 11/1994, de 26 de julio.
D) Ninguna de las anteriores es correcta.
Respuesta Correcta: C"
31,La Ordenación Sanitaria de Canarias establece en su título preliminar que su objeto es:,"Garantizar la movilidad, en términos de igualdad efectiva, del personal estatutario en el conjunto del Sistema Nacional de Salud.",El establecimiento y la ordenación del sistema canario de la salud.,Regular los aspectos básicos de las profesiones sanitarias tituladas en lo que se refiere a su ejercicio por cuenta propia o ajena.,Establecer el marco legal para las acciones de coordinación y cooperación de las Administraciones públicas sanitarias.,B,El establecimiento y la ordenación del sistema canario de la salud.,"31. La Ordenación Sanitaria de Canarias establece en su título preliminar que su objeto es:
A) Garantizar la movilidad, en términos de igualdad efectiva, del personal estatutario en el conjunto del Sistema
Nacional de Salud.
B) El establecimiento y la ordenación del sistema canario de la salud.
C) Regular los aspectos básicos de las profesiones sanitarias tituladas en lo que se refiere a su ejercicio por
cuenta propia o ajena.
D) Establecer el marco legal para las acciones de coordinación y cooperación de las Administraciones públicas
sanitarias.
Respuesta Correcta: B"
32,"De acuerdo con el art. 6 de la Ley de Ordenación Sanitaria Canaria, los titulares de derechos, tienen derecho:","A elegir entre los servicios y centros que forman parte del Servicio Canario de la Salud o, en su caso, de la Red Hospitalaria de Utilización Pública.","A ser objeto como paciente, sin haber otorgado previamente su libre consentimiento por escrito y conformado por el médico responsable y la Dirección del centro o establecimiento, de procedimientos de diagnóstico y terapia en fase de experimentación.","A la libre elección de médico general, pediatra hasta la edad de doce años inclusive, tocoginecólogo y psiquiatra, de entre los que presten sus servicios en la Zona Básica de Salud o en el municipio de su lugar de residencia.",Todos son derechos reconocidos.,A,"A elegir entre los servicios y centros que forman parte del Servicio Canario de la Salud o, en su caso, de la Red Hospitalaria de Utilización Pública.","32. De acuerdo con el art. 6 de la Ley de Ordenación Sanitaria Canaria, los titulares de derechos, tienen derecho:

A) A elegir entre los servicios y centros que forman parte del Servicio Canario de la Salud o, en su caso, de la
Red Hospitalaria de Utilización Pública.
B) A ser objeto como paciente, sin haber otorgado previamente su libre consentimiento por escrito y
conformado por el médico responsable y la Dirección del centro o establecimiento, de procedimientos de
diagnóstico y terapia en fase de experimentación.
C) A la libre elección de médico general, pediatra hasta la edad de doce años inclusive, tocoginecólogo y
psiquiatra, de entre los que presten sus servicios en la Zona Básica de Salud o en el municipio de su lugar
de residencia.
D) Todos son derechos reconocidos.
Respuesta Correcta: A"
33,"El conjunto de las actividades, de los servicios y de las prestaciones desarrolladas por organizaciones y personas
públicas o privadas en el territorio de Canarias, que funciona de manera cooperativa y ordenada, conforme al
Plan de Salud de Canarias, para proteger y promover la salud, prevenir la enfermedad y asegurar la asistencia
sanitaria en todos los casos de pérdida de salud, es el:",Servicio Canario de la Salud.,Sistema Canario de la Salud.,Sistema Nacional de la Salud.,Servicio Nacional de Salud.,B,Sistema Canario de la Salud.,"33. El conjunto de las actividades, de los servicios y de las prestaciones desarrolladas por organizaciones y personas
públicas o privadas en el territorio de Canarias, que funciona de manera cooperativa y ordenada, conforme al
Plan de Salud de Canarias, para proteger y promover la salud, prevenir la enfermedad y asegurar la asistencia
sanitaria en todos los casos de pérdida de salud, es el:
A) Servicio Canario de la Salud.
B) Sistema Canario de la Salud.
C) Sistema Nacional de la Salud.
D) Servicio Nacional de Salud.
Respuesta Correcta: B"
34,"Las actividades, los servicios y las prestaciones directamente asumidos, establecidos y desarrollados por la
Administración de la Comunidad Autónoma en el triple campo de la promoción y protección de la salud, la
prevención de enfermedad y la asistencia sanitaria, le corresponde al:",Servicio Canario de la Salud.,Sistema Canario de la Salud.,Sistema Nacional de la Salud.,Servicio Nacional de la Salud.,A,Servicio Canario de la Salud.,"34. Las actividades, los servicios y las prestaciones directamente asumidos, establecidos y desarrollados por la
Administración de la Comunidad Autónoma en el triple campo de la promoción y protección de la salud, la
prevención de enfermedad y la asistencia sanitaria, le corresponde al:
A) Servicio Canario de la Salud.
B) Sistema Canario de la Salud.
C) Sistema Nacional de la Salud.
D) Servicio Nacional de la Salud.
Respuesta Correcta: A"
35,"Las funciones del Sistema Canario de la Salud se recogen en la Ley de Ordenación Sanitaria de Canarias, en el
artículo:",2.,3.,4.,5.,B,3.,"35. Las funciones del Sistema Canario de la Salud se recogen en la Ley de Ordenación Sanitaria de Canarias, en el
artículo:
A) 2.
B) 3.
C) 4.

D) 5.
Respuesta Correcta: B"
36,La igualdad en el acceso a los servicios y las prestaciones es:,Una función del Sistema Canario de la Salud.,Un principio del Sistema Canario de la Salud.,El fin del Sistema Canario de la Salud.,Ninguna de las anteriores es correcta.,B,Un principio del Sistema Canario de la Salud.,"36. La igualdad en el acceso a los servicios y las prestaciones es:
A) Una función del Sistema Canario de la Salud.
B) Un principio del Sistema Canario de la Salud.
C) El fin del Sistema Canario de la Salud.
D) Ninguna de las anteriores es correcta.
Respuesta Correcta: B"
37,"De acuerdo con los dispuesto en la Ley de Ordenación Sanitaria de Canarias, cuál de los siguientes no es un
derecho de los ciudadanos:",A la libre elección de médico y centro o establecimiento sanitario.,"A que se les extienda certificación acreditativa de su estado de salud, cuando así lo considere el ciudadano.",A una segunda opinión.,A programas y actuaciones especiales y preferentes.,B,"A que se les extienda certificación acreditativa de su estado de salud, cuando así lo considere el ciudadano.","37. De acuerdo con los dispuesto en la Ley de Ordenación Sanitaria de Canarias, cuál de los siguientes no es un
derecho de los ciudadanos:
A) A la libre elección de médico y centro o establecimiento sanitario.
B) A que se les extienda certificación acreditativa de su estado de salud, cuando así lo considere el ciudadano.
C) A una segunda opinión.
D) A programas y actuaciones especiales y preferentes.
Respuesta Correcta: B"
